product_id,brand,title,type,price,priceWithCurrency,available,availableText,sold,lastUpdated,itemLocation
P00001,Ariana Grande,Cloud by Ariana Grande Perfume 3.4 oz Eau de Parfum EDP for Women BRAND NEW!!,Eau de Parfum,32,US $32.00/ea,9,9 available / 10 sold,10,"May 22, 2024 10:10:13 PDT","Hamtramck, Michigan, United States"
P00002,Oscar de la Renta,Oscar by Oscar De La Renta EDT Perfume for Women 3.3 / 3.4 oz New In Box,Eau de Toilette,33.34,US $33.34/ea,8,"8 available / 3,466 sold",3466,"May 23, 2024 10:04:49 PDT","Hackensack, New Jersey, United States"
P00003,Jo Malone,Jo Malone Peony & Blush Suede Eau de Cologne 3.4Fl Oz / 100 ML Perfume,Perfume,49.99,US $49.99,9,9 available / 13 sold,13,"May 21, 2024 20:04:49 PDT","ShenZhen, China"
P00004,Donna Karan,Donna Karan Cashmere Mist 3.4 oz / 100ml Women Eau de Parfum Brand New Sealed,Eau de Parfum,29.95,US $29.95/ea,8,"8 available / 1,239 sold",1239,"May 22, 2024 08:24:55 PDT","Warren, Michigan, United States"
P00005,Paco Rabanne,1 Million Men Cologne Handmade Stronger With Pheromones For Sexual Attraction!,Eau de Toilette,17.98,US $17.98,10,More than 10 available / 4 sold,4,"May 15, 2024 17:31:27 PDT","Austell, Georgia, United States"
P00006,CHANGE For Women,Chance Eau de Perfume Natural spray for women 3.4 oz/ 100 ml,Perfume,18.99,US $18.99,,Last One / 2 sold,2,,"Miami, Florida, United States"
P00007,rue21,Rue 21 CJ Black Cologne Spray  1.7 fl. Oz  New Without Box,Cologne,25,US $25.00/ea,4,4 available / 22 sold,22,"May 24, 2024 02:35:10 PDT","Chesapeake, Virginia, United States"
P00008,Davidoff,Cool Water by Davidoff 4.2 oz Eau De Toilette Cologne Spray Men's New In Box,Eau de Toilette,25.49,US $25.49/ea,4,4 available / 64 sold,64,"May 24, 2024 03:48:03 PDT","Baltimore, Maryland, United States"
P00009,Thierry Mugler,Angel by Thierry Mugler 3.4 oz Eau De Parfum Spray Refillable Star New & Sealed,Eau de Parfum,69.99,US $69.99/ea,2,2 available / 27 sold,27,"May 20, 2024 08:22:23 PDT","Reinholds, Pennsylvania, United States"
P00010,Gucci,"Gucci Flora Gorgeous Magnolia, Gucci Gorgeous Jasmine & Gorgeous Gardenia VIALS",Eau de Parfum,15.99,US $15.99,,More than 10 lots available (3 items per lot) / 154 sold,154,"May 19, 2024 16:43:20 PDT","Valley Stream, New York, United States"
P00011,Juliette has a gun,VANILLA VIBES BY JULIETTE HAS A GUN-EDP-SPRAY-3.3 OZ-100 ML-AUTHENTIC-U/B-FRANCE,Eau de Parfum,56.99,US $56.99/ea,2,2 available / 2 sold,2,"May 24, 2024 09:07:35 PDT","Myrtle Beach, South Carolina, United States"
